color short,color name,color code,r,g,b,description,main_color
egyptian_blue,Egyptian Blue,#1034a6,16,52,166,Dark blue,black
electric_blue,Electric Blue,#7df9ff,125,249,255,Very light cyan,cyan
electric_crimson,Electric Crimson,#ff003f,255,0,63,Pure (or mostly pure) red,red
electric_cyan,Electric Cyan,#0ff,0,255,255,Pure (or mostly pure) cyan,cyan
electric_green,Electric Green,#0f0,0,255,0,Pure (or mostly pure) lime green,green
electric_indigo,Electric Indigo,#6f00ff,111,0,255,Pure (or mostly pure) violet,violet
electric_lavender,Electric Lavender,#f4bbff,244,187,255,Pale magenta,magenta
electric_lime,Electric Lime,#cf0,204,255,0,Pure (or mostly pure) yellow,yellow
electric_purple,Electric Purple,#bf00ff,191,0,255,Pure (or mostly pure) violet,violet
electric_ultramarine,Electric Ultramarine,#3f00ff,63,0,255,Pure (or mostly pure) blue,blue
electric_violet,Electric Violet,#8f00ff,143,0,255,Pure (or mostly pure) violet,violet
electric_yellow,Electric Yellow,#ff0,255,255,0,Pure (or mostly pure) yellow,yellow
emerald,Emerald,#50c878,80,200,120,Moderate cyan - lime green,green
english_lavender,English Lavender,#b48395,180,131,149,Slightly desaturated pink,pink
eton_blue,Eton Blue,#96c8a2,150,200,162,Grayish lime green,green
fallow,Fallow,#c19a6b,193,154,107,Slightly desaturated orange,orange
falu_red,Falu Red,#801818,128,24,24,Dark red,black
fandango,Fandango,#b53389,181,51,137,Moderate pink,pink
fashion_fuchsia,Fashion Fuchsia,#f400a1,244,0,161,Pure (or mostly pure) pink,pink
fawn,Fawn,#e5aa70,229,170,112,Soft orange,orange
feldgrau,Feldgrau,#4d5d53,77,93,83,Very dark grayish cyan - lime green,black
fern_green,Fern Green,#4f7942,79,121,66,Dark moderate lime green,black
ferrari_red,Ferrari Red,#ff2800,255,40,0,Pure (or mostly pure) red,red
field_drab,Field Drab,#6c541e,108,84,30,Very dark orange [Brown tone],black
fire_engine_red,Fire Engine Red,#ce2029,206,32,41,Strong red,red
firebrick,Firebrick,#b22222,178,34,34,Dark red,black
flame,Flame,#e25822,226,88,34,Bright orange,orange
flamingo_pink,Flamingo Pink,#fc8eac,252,142,172,Very soft pink,pink
flavescent,Flavescent,#f7e98e,247,233,142,Very soft yellow,yellow
flax,Flax,#eedc82,238,220,130,Soft yellow,yellow
floral_white,Floral White,#fffaf0,255,250,240,Very pale (mostly white) orange,white
fluorescent_orange,Fluorescent Orange,#ffbf00,255,191,0,Pure (or mostly pure) orange,orange
fluorescent_pink,Fluorescent Pink,#ff1493,255,20,147,Vivid pink,pink
fluorescent_yellow,Fluorescent Yellow,#cf0,204,255,0,Pure (or mostly pure) yellow,yellow
folly,Folly,#ff004f,255,0,79,Pure (or mostly pure) pink,pink
forest_green_traditional,Forest Green (Traditional),#014421,1,68,33,Very dark cyan - lime green,black
forest_green_web,Forest Green (Web),#228b22,34,139,34,Dark lime green,black
french_beige,French Beige,#a67b5b,166,123,91,Dark moderate orange,black
french_blue,French Blue,#0072bb,0,114,187,Strong blue,blue
french_lilac,French Lilac,#86608e,134,96,142,Mostly desaturated dark magenta,black
french_lime,French Lime,#cf0,204,255,0,Pure (or mostly pure) yellow,yellow
french_raspberry,French Raspberry,#c72c48,199,44,72,Strong red,red
french_rose,French Rose,#f64a8a,246,74,138,Soft pink,pink
fuchsia,Fuchsia,#f0f,255,0,255,Pure (or mostly pure) magenta,magenta
fuchsia_crayola,Fuchsia (Crayola),#c154c1,193,84,193,Moderate magenta,magenta
fuchsia_pink,Fuchsia Pink,#f7f,255,119,255,Very light magenta,magenta
fuchsia_rose,Fuchsia Rose,#c74375,199,67,117,Moderate pink,pink
fulvous,Fulvous,#e48400,228,132,0,Pure (or mostly pure) orange,orange
fuzzy_wuzzy,Fuzzy Wuzzy,#c66,204,102,102,Moderate red,red
gainsboro,Gainsboro,#dcdcdc,220,220,220,Very light gray,gray
gamboge,Gamboge,#e49b0f,228,155,15,Vivid orange,orange
ghost_white,Ghost White,#f8f8ff,248,248,255,Very pale (mostly white) blue,white
ginger,Ginger,#b06500,176,101,0,Dark orange [Brown tone],black
glaucous,Glaucous,#6082b6,96,130,182,Slightly desaturated blue,blue
glitter,Glitter,#e6e8fa,230,232,250,Light grayish blue,blue
gold_metallic,Gold (Metallic),#d4af37,212,175,55,Moderate yellow,yellow
gold_web_golden,Gold (Web) (Golden),#ffd700,255,215,0,Pure (or mostly pure) yellow,yellow
golden_brown,Golden Brown,#996515,153,101,21,Dark orange [Brown tone],black
golden_poppy,Golden Poppy,#fcc200,252,194,0,Pure (or mostly pure) yellow,yellow
golden_yellow,Golden Yellow,#ffdf00,255,223,0,Pure (or mostly pure) yellow,yellow
goldenrod,Goldenrod,#daa520,218,165,32,Vivid orange,orange
granny_smith_apple,Granny Smith Apple,#a8e4a0,168,228,160,Very soft lime green,green
gray,Gray,#808080,128,128,128,Dark gray,black
gray_asparagus,Gray-Asparagus,#465945,70,89,69,Very dark grayish lime green,black
gray_html_css_gray,Gray (Html/Css Gray),#808080,128,128,128,Dark gray,black
gray_x11_gray,Gray (X11 Gray),#bebebe,190,190,190,Gray,gray
green_color_wheel_x11_green,Green (Color Wheel) (X11 Green),#0f0,0,255,0,Pure (or mostly pure) lime green,green
green_crayola,Green (Crayola),#1cac78,28,172,120,Dark cyan - lime green,black
green_html_css_green,Green (Html/Css Green),#008000,0,128,0,Dark lime green,black
green_munsell,Green (Munsell),#00a877,0,168,119,Dark cyan - lime green,black
green_ncs,Green (Ncs),#009f6b,0,159,107,Dark cyan - lime green,black
green_pigment,Green (Pigment),#00a550,0,165,80,Dark cyan - lime green,black
green_ryb,Green (Ryb),#66b032,102,176,50,Dark green,black
green_yellow,Green-Yellow,#adff2f,173,255,47,Vivid green,green
grullo,Grullo,#a99a86,169,154,134,Dark grayish orange,black
guppie_green,Guppie Green,#00ff7f,0,255,127,Pure (or mostly pure) cyan - lime green,green
halay_be,Halayà úBe,#663854,102,56,84,Very dark desaturated pink,black
han_blue,Han Blue,#446ccf,68,108,207,Moderate blue,blue
han_purple,Han Purple,#5218fa,82,24,250,Vivid violet,violet
hansa_yellow,Hansa Yellow,#e9d66b,233,214,107,Soft yellow,yellow
harlequin,Harlequin,#3fff00,63,255,0,Pure (or mostly pure) lime green,green
harvard_crimson,Harvard Crimson,#c90016,201,0,22,Strong red,red
harvest_gold,Harvest Gold,#da9100,218,145,0,Pure (or mostly pure) orange,orange
heart_gold,Heart Gold,#808000,128,128,0,Dark yellow [Olive tone],black
heliotrope,Heliotrope,#df73ff,223,115,255,Very light magenta,magenta
hollywood_cerise,Hollywood Cerise,#f400a1,244,0,161,Pure (or mostly pure) pink,pink
honeydew,Honeydew,#f0fff0,240,255,240,Very pale (mostly white) lime green,white
honolulu_blue,Honolulu Blue,#007fbf,0,127,191,Strong blue,blue
hooker_s_green,Hooker'S Green,#49796b,73,121,107,Mostly desaturated dark cyan - lime green,black
hot_magenta,Hot Magenta,#ff1dce,255,29,206,Vivid magenta,magenta
hot_pink,Hot Pink,#ff69b4,255,105,180,Very light pink,pink
hunter_green,Hunter Green,#355e3b,53,94,59,Very dark desaturated lime green,black
iceberg,Iceberg,#71a6d2,113,166,210,Slightly desaturated blue,blue
icterine,Icterine,#fcf75e,252,247,94,Soft yellow,yellow
imperial_blue,Imperial Blue,#002395,0,35,149,Dark blue,black
inchworm,Inchworm,#b2ec5d,178,236,93,Soft green,green
india_green,India Green,#138808,19,136,8,Dark lime green,black
indian_red,Indian Red,#cd5c5c,205,92,92,Moderate red,red
indian_yellow,Indian Yellow,#e3a857,227,168,87,Soft orange,orange
indigo,Indigo,#6f00ff,111,0,255,Pure (or mostly pure) violet,violet
indigo_dye,Indigo (Dye),#00416a,0,65,106,Very dark blue,black
indigo_web,Indigo (Web),#4b0082,75,0,130,Dark violet,black
international_klein_blue,International Klein Blue,#002fa7,0,47,167,Dark blue,black
international_orange_aerospace,International Orange (Aerospace),#ff4f00,255,79,0,Pure (or mostly pure) orange,orange
international_orange_engineering,International Orange (Engineering),#ba160c,186,22,12,Strong red,red
international_orange_golden_gate_bridge,International Orange (Golden Gate Bridge),#c0362c,192,54,44,Strong red,red
iris,Iris,#5a4fcf,90,79,207,Moderate blue,blue
isabelline,Isabelline,#f4f0ec,244,240,236,Light grayish orange,gray
islamic_green,Islamic Green,#009000,0,144,0,Dark lime green,black
ivory,Ivory,#fffff0,255,255,240,Very pale (mostly white) yellow,white
jade,Jade,#00a86b,0,168,107,Dark cyan - lime green,black
jasmine,Jasmine,#f8de7e,248,222,126,Soft yellow,yellow
jasper,Jasper,#d73b3e,215,59,62,Moderate red,red
jazzberry_jam,Jazzberry Jam,#a50b5e,165,11,94,Dark pink,black
jet,Jet,#343434,52,52,52,Very dark gray,black
jonquil,Jonquil,#fada5e,250,218,94,Soft yellow,yellow
june_bud,June Bud,#bdda57,189,218,87,Soft yellow,yellow
jungle_green,Jungle Green,#29ab87,41,171,135,Dark cyan - lime green,black
kelly_green,Kelly Green,#4cbb17,76,187,23,Strong green,green
kenyan_copper,Kenyan Copper,#7c1c05,124,28,5,Dark red,black
khaki_html_css_khaki,Khaki (Html/Css) (Khaki),#c3b091,195,176,145,Slightly desaturated orange,orange
khaki_x11_light_khaki,Khaki (X11) (Light Khaki),#f0e68c,240,230,140,Very soft yellow,yellow
ku_crimson,Ku Crimson,#e8000d,232,0,13,Pure (or mostly pure) red,red
la_salle_green,La Salle Green,#087830,8,120,48,Dark cyan - lime green,black
languid_lavender,Languid Lavender,#d6cadd,214,202,221,Light grayish violet,gray
lapis_lazuli,Lapis Lazuli,#26619c,38,97,156,Dark blue,black
laser_lemon,Laser Lemon,#fefe22,254,254,34,Vivid yellow,yellow
laurel_green,Laurel Green,#a9ba9d,169,186,157,Grayish green,green
lava,Lava,#cf1020,207,16,32,Strong red,red
lavender_blue,Lavender Blue,#ccf,204,204,255,Very pale blue,blue
lavender_blush,Lavender Blush,#fff0f5,255,240,245,Very pale (mostly white) pink,white
lavender_floral,Lavender (Floral),#b57edc,181,126,220,Very soft violet,violet
lavender_gray,Lavender Gray,#c4c3d0,196,195,208,Grayish blue,blue
lavender_indigo,Lavender Indigo,#9457eb,148,87,235,Soft violet,violet
lavender_magenta,Lavender Magenta,#ee82ee,238,130,238,Soft magenta,magenta
lavender_mist,Lavender Mist,#e6e6fa,230,230,250,Light grayish blue,blue
lavender_pink,Lavender Pink,#fbaed2,251,174,210,Very soft pink,pink
lavender_purple,Lavender Purple,#967bb6,150,123,182,Slightly desaturated violet,violet
lavender_rose,Lavender Rose,#fba0e3,251,160,227,Very soft pink,pink
lavender_web,Lavender (Web),#e6e6fa,230,230,250,Light grayish blue,blue
lawn_green,Lawn Green,#7cfc00,124,252,0,Pure (or mostly pure) green,green
lemon,Lemon,#fff700,255,247,0,Pure (or mostly pure) yellow,yellow
lemon_chiffon,Lemon Chiffon,#fffacd,255,250,205,Very pale yellow,yellow
lemon_lime,Lemon Lime,#e3ff00,227,255,0,Pure (or mostly pure) yellow,yellow
licorice,Licorice,#1a1110,26,17,16,Very dark (mostly black) red,black
light_apricot,Light Apricot,#fdd5b1,253,213,177,Very soft orange,orange
light_blue,Light Blue,#add8e6,173,216,230,Very soft cyan,cyan
light_brown,Light Brown,#b5651d,181,101,29,Strong orange,orange
light_carmine_pink,Light Carmine Pink,#e66771,230,103,113,Soft red,red
light_coral,Light Coral,#f08080,240,128,128,Soft red,red
light_cornflower_blue,Light Cornflower Blue,#93ccea,147,204,234,Very soft blue,blue
light_crimson,Light Crimson,#f56991,245,105,145,Soft pink,pink
light_cyan,Light Cyan,#e0ffff,224,255,255,Very pale cyan,cyan
light_fuchsia_pink,Light Fuchsia Pink,#f984ef,249,132,239,Soft magenta,magenta
light_goldenrod_yellow,Light Goldenrod Yellow,#fafad2,250,250,210,Light grayish yellow,yellow
light_gray,Light Gray,#d3d3d3,211,211,211,Light gray,gray
light_green,Light Green,#90ee90,144,238,144,Very soft lime green,green
light_khaki,Light Khaki,#f0e68c,240,230,140,Very soft yellow,yellow
light_pastel_purple,Light Pastel Purple,#b19cd9,177,156,217,Very soft violet,violet
light_pink,Light Pink,#ffb6c1,255,182,193,Pale red,red
light_red_ochre,Light Red Ochre,#e97451,233,116,81,Soft red,red
light_salmon,Light Salmon,#ffa07a,255,160,122,Very light orange,orange
light_salmon_pink,Light Salmon Pink,#f99,255,153,153,Very light red,red
light_sea_green,Light Sea Green,#20b2aa,32,178,170,Dark cyan,black
light_sky_blue,Light Sky Blue,#87cefa,135,206,250,Soft blue,blue
light_slate_gray,Light Slate Gray,#789,119,136,153,Dark grayish blue,black
light_taupe,Light Taupe,#b38b6d,179,139,109,Slightly desaturated orange,orange
